File: collections.test
Type: cpu
Time: 2026-05-25 19:25:34 HST
Duration: 34.41s, Total samples = 29.28s (85.10%)
Showing nodes accounting for 26.14s, 89.28% of 29.28s total
Dropped 439 nodes (cum <= 0.15s)
      flat  flat%   sum%        cum   cum%
         0     0% 89.28%      0.85s  2.90%  runtime.gopreempt_m (inline)
         0     0% 89.28%      0.86s  2.94%  runtime.goschedImpl
         0     0% 89.28%      0.17s  0.58%  runtime.growslice
         0     0% 89.28%      0.20s  0.68%  runtime.mcall
         0     0% 89.28%      0.86s  2.94%  runtime.morestack
         0     0% 89.28%      0.16s  0.55%  runtime.netpoll
         0     0% 89.28%      0.89s  3.04%  runtime.notewakeup
         0     0% 89.28%      0.19s  0.65%  runtime.park_m
         0     0% 89.28%      0.20s  0.68%  runtime.schedule
         0     0% 89.28%      0.89s  3.04%  runtime.semawakeup
         0     0% 89.28%      0.88s  3.01%  runtime.startm
         0     0% 89.28%      3.42s 11.68%  runtime.sysUsed (inline)
         0     0% 89.28%      3.42s 11.68%  runtime.sysUsedOS (inline)
         0     0% 89.28%      3.81s 13.01%  runtime.systemstack
         0     0% 89.28%      0.90s  3.07%  runtime.wakep
         0     0% 89.28%      0.29s  0.99%  slices.SortFunc[go.shape.[]github.com/snissn/gomap/TreeDB/collections.vectorIndexCandidate,go.shape.struct { github.com/snissn/gomap/TreeDB/collections.nodeID int; github.com/snissn/gomap/TreeDB/collections.distance float32 }] (inline)
         0     0% 89.28%      0.17s  0.58%  strconv.AppendFloat (inline)
         0     0% 89.28%      0.47s  1.61%  strconv.ParseFloat
         0     0% 89.28%      0.45s  1.54%  syscall.Close
         0     0% 89.28%      0.45s  1.54%  syscall.Open
         0     0% 89.28%      0.62s  2.12%  syscall.Pread (inline)
         0     0% 89.28%      0.18s  0.61%  syscall.Stat
         0     0% 89.28%      0.62s  2.12%  syscall.pread
         0     0% 89.28%     19.37s 66.15%  testing.(*B).launch
         0     0% 89.28%      5.15s 17.59%  testing.(*B).run1.func1
         0     0% 89.28%     24.52s 83.74%  testing.(*B).runN
